Año,Mes,Region,Regimen,Sector,Valor,% Variacion interanual
2019,09,Cataluña,Régimen general y minería del carbón,Agricultura,"9,5","1,1"
2019,09,Cataluña,Régimen general y minería del carbón,Industria,"440,3","-0,2"
2019,09,Cataluña,Régimen general y minería del carbón,Construcción,"138,3","3,8"
2019,09,Cataluña,Régimen general y minería del carbón,Servicios,"2.201,9","1,9"
2019,09,Cataluña,Régimen general y minería del carbón,No clasificables,"4,5",..
2019,08,Cataluña,Régimen general y minería del carbón,Total,"2.796,8","4,5"
2019,08,Cataluña,Régimen general y minería del carbón,Agricultura,"9,6","2,4"
2019,08,Cataluña,Régimen general y minería del carbón,Industria,"447,5","2,4"
2019,08,Cataluña,Régimen general y minería del carbón,Construcción,"135,4","5,1"
2019,08,Cataluña,Régimen general y minería del carbón,Servicios,"2.199,9","4,7"
2019,08,Cataluña,Régimen general y minería del carbón,No clasificables,"4,3",..
2019,07,Cataluña,Régimen general y minería del carbón,Total,"2.813,7","3,1"
2019,07,Cataluña,Régimen general y minería del carbón,Agricultura,"9,7","1,5"
2019,07,Cataluña,Régimen general y minería del carbón,Industria,"449,8","2,0"
2019,07,Cataluña,Régimen general y minería del carbón,Construcción,"139,7","4,6"
2019,07,Cataluña,Régimen general y minería del carbón,Servicios,"2.210,5","3,1"
2019,07,Cataluña,Régimen general y minería del carbón,No clasificables,"4,0",..
2019,06,Cataluña,Régimen general y minería del carbón,Total,"2.848,6","2,9"
2019,06,Cataluña,Régimen general y minería del carbón,Agricultura,"9,9","2,9"
2019,06,Cataluña,Régimen general y minería del carbón,Industria,"449,8","1,7"
2019,06,Cataluña,Régimen general y minería del carbón,Construcción,"142,1","5,0"
2019,06,Cataluña,Régimen general y minería del carbón,Servicios,"2.243,2","2,9"
2019,06,Cataluña,Régimen general y minería del carbón,No clasificables,"3,5",..
2019,05,Cataluña,Régimen general y minería del carbón,Total,"2.815,6","3,0"
2019,05,Cataluña,Régimen general y minería del carbón,Agricultura,"9,7","2,3"
2019,05,Cataluña,Régimen general y minería del carbón,Industria,"445,2","1,9"
2019,05,Cataluña,Régimen general y minería del carbón,Construcción,"140,4","5,1"
2019,05,Cataluña,Régimen general y minería del carbón,Servicios,"2.217,8","3,1"
2019,05,Cataluña,Régimen general y minería del carbón,No clasificables,"2,5",..
2019,04,Cataluña,Régimen general y minería del carbón,Total,"2.794,1","3,4"
2019,04,Cataluña,Régimen general y minería del carbón,Agricultura,"9,4","2,9"
2019,04,Cataluña,Régimen general y minería del carbón,Industria,"444,3","2,2"
